epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_loss_eval,train_map_eval,val_auc,val_f1,val_loss,val_map,weight_norm/fc.0.bias,weight_norm/fc.0.weight,weight_norm/fc.3.bias,weight_norm/fc.3.weight,weight_norm/gru.bias_hh_l0,weight_norm/gru.bias_hh_l1,weight_norm/gru.bias_ih_l0,weight_norm/gru.bias_ih_l1,weight_norm/gru.weight_hh_l0,weight_norm/gru.weight_hh_l1,weight_norm/gru.weight_ih_l0,weight_norm/gru.weight_ih_l1
4,1409,,,0.053988926112651825,,,,,,,,,,,,,,,,,,,
4,1414,,,,0.053505830466747284,,,,,,,,,,,,,,,,,,
5,1419,,,0.06164337694644928,,,,,,,,,,,,,,,,,,,
5,1429,,,0.053202029317617416,,,,,,,,,,,,,,,,,,,
5,1439,,,0.0562577024102211,,,,,,,,,,,,,,,,,,,
5,1449,,,0.05359776318073273,,,,,,,,,,,,,,,,,,,
5,1459,,,0.05151839554309845,,,,,,,,,,,,,,,,,,,
5,1469,,,0.052221447229385376,,,,,,,,,,,,,,,,,,,
5,1479,,,0.05212238058447838,,,,,,,,,,,,,,,,,,,
5,1489,,,0.051786862313747406,,,,,,,,,,,,,,,,,,,
5,1499,,,0.05075127258896828,,,,,,,,,,,,,,,,,,,
5,1509,,,0.08284077793359756,,,,,,,,,,,,,,,,,,,
5,1519,,,0.06232580542564392,,,,,,,,,,,,,,,,,,,
5,1529,,,0.05603063851594925,,,,,,,,,,,,,,,,,,,
5,1539,,,0.052910711616277695,,,,,,,,,,,,,,,,,,,
5,1549,,,0.058467797935009,,,,,,,,,,,,,,,,,,,
5,1559,,,0.05602618306875229,,,,,,,,,,,,,,,,,,,
5,1569,,,0.053339239209890366,,,,,,,,,,,,,,,,,,,
5,1579,,,0.056016985327005386,,,,,,,,,,,,,,,,,,,
5,1589,,,0.05113118514418602,,,,,,,,,,,,,,,,,,,
5,1599,,,0.053700853139162064,,,,,,,,,,,,,,,,,,,
5,1609,,,0.049813318997621536,,,,,,,,,,,,,,,,,,,
5,1619,,,0.05424444004893303,,,,,,,,,,,,,,,,,,,
5,1629,,,0.04947437345981598,,,,,,,,,,,,,,,,,,,
5,1639,,,0.05660869553685188,,,,,,,,,,,,,,,,,,,
5,1649,,,0.05546339601278305,,,,,,,,,,,,,,,,,,,
5,1659,,,0.054315317422151566,,,,,,,,,,,,,,,,,,,
5,1669,,,0.05578247085213661,,,,,,,,,,,,,,,,,,,
5,1679,,,0.05093178153038025,,,,,,,,,,,,,,,,,,,
5,1689,,,0.05350716412067413,,,,,,,,,,,,,,,,,,,
5,1697,,,,0.05429515987634659,,,,,,,,,,,,,,,,,,
6,1699,,,0.055570654571056366,,,,,,,,,,,,,,,,,,,
6,1709,,,0.051936157047748566,,,,,,,,,,,,,,,,,,,
6,1719,,,0.05609327182173729,,,,,,,,,,,,,,,,,,,
6,1729,,,0.052413541823625565,,,,,,,,,,,,,,,,,,,
6,1739,,,0.05418122559785843,,,,,,,,,,,,,,,,,,,
6,1749,,,0.05382632464170456,,,,,,,,,,,,,,,,,,,
6,1759,,,0.05278303846716881,,,,,,,,,,,,,,,,,,,
6,1769,,,0.05341782793402672,,,,,,,,,,,,,,,,,,,
6,1779,,,0.048564281314611435,,,,,,,,,,,,,,,,,,,
6,1789,,,0.05262911319732666,,,,,,,,,,,,,,,,,,,
6,1799,,,0.05616132542490959,,,,,,,,,,,,,,,,,,,
6,1809,,,0.051872558891773224,,,,,,,,,,,,,,,,,,,
6,1819,,,0.051695458590984344,,,,,,,,,,,,,,,,,,,
6,1829,,,0.05016399919986725,,,,,,,,,,,,,,,,,,,
6,1839,,,0.05005667731165886,,,,,,,,,,,,,,,,,,,
6,1849,,,0.053868234157562256,,,,,,,,,,,,,,,,,,,
6,1859,,,0.054074376821517944,,,,,,,,,,,,,,,,,,,
6,1869,,,0.05275838449597359,,,,,,,,,,,,,,,,,,,
6,1879,,,0.054326437413692474,,,,,,,,,,,,,,,,,,,
6,1889,,,0.05627748742699623,,,,,,,,,,,,,,,,,,,
6,1899,,,0.05257568880915642,,,,,,,,,,,,,,,,,,,
6,1909,,,0.04950730502605438,,,,,,,,,,,,,,,,,,,
6,1919,,,0.054255224764347076,,,,,,,,,,,,,,,,,,,
6,1929,,,0.05486097186803818,,,,,,,,,,,,,,,,,,,
6,1939,,,0.052599694579839706,,,,,,,,,,,,,,,,,,,
6,1949,,,0.052025627344846725,,,,,,,,,,,,,,,,,,,
6,1959,,,0.052173204720020294,,,,,,,,,,,,,,,,,,,
6,1969,,,0.054884228855371475,,,,,,,,,,,,,,,,,,,
6,1979,,,0.053701434284448624,,,,,,,,,,,,,,,,,,,
6,1980,,,,0.0532340444624424,,,,,,,,,,,,,,,,,,
7,1989,,,0.057396188378334045,,,,,,,,,,,,,,,,,,,
7,1999,,,0.05573607608675957,,,,,,,,,,,,,,,,,,,
7,2009,,,0.054629772901535034,,,,,,,,,,,,,,,,,,,
7,2019,,,0.05244312435388565,,,,,,,,,,,,,,,,,,,
7,2029,,,0.049381669610738754,,,,,,,,,,,,,,,,,,,
